name,city,field,lon,lat
"Takvorian, Nadine","San Francisco, CA",CartoonCharacter,-122.419416,37.774929
The Studio,"New York, NY",CartoonCharacter,-74.005973,40.712775
"Thompson, Jode",,CartoonCharacter,,
"Thompson, John",,CartoonCharacter,,
"Todd, Chuck Illustration",,ComicBook,,
"Towler, Matt","Waltham, MA",ComicBook,-71.235611,42.376485
"Traquino, Ed",,ComicBook,,
TR3 Studios,"Ypsilanti, MI",ComicBook,-83.612994,42.24115
"Vance, Steve",,ComicBook,,
"Veach, Steven","San Diego, CA",ComicBook,-117.161084,32.715738
"Velocity Design Group, LLC","Gilbert, AZ",ComicBook,-111.789027,33.352826
"Veltfort, Anna",,ComicBook,,
"Verhoye, Annabelle",,ComicBook,,
"Villarrubia, Jose",,ComicBook,,
"Volkert, Nick",,ComicBook,,
"Walker, Kathy","Sun City, AZ",ComicBook,-112.271824,33.597539
"Walker, Mark Evan",,ComicBook,,
"Walker, M.L.",,ComicBook,,
"Warfield, D.L.","Alpharetta, GA",ComicBook,-84.29409,34.075376
"Watson, Esther Pearl",,ComicBook,,
"Waurechen, Trevor",,ComicBook,,
"Weaver, Brian Michael",,ComicBook,,
"Weigel, Jeff","Belleville, IL",ComicBook,-89.983993,38.52005
"Whisler, J Art","Irvine, CA",ComicBook,-117.826505,33.684567
"White, Janie",,ComicBook,,
"WickedInk Creative Design, Inc.","Easley, SC",ComicBook,-82.601521,34.829838
"Wong, Patrick",,ComicBook,,
"Yamasaki, James",,ComicBook,,
Yayo,,ComicBook,,
"Yelland, Sean",,ComicBook,,
"Yip, Filip",,ComicBook,,
"Yoon, Young-Min",,ComicBook,,
"Yost, J.T.","New York, NY",ComicBook,-74.005973,40.712775
"Zalme, Ron","Newton, NJ",ComicBook,-74.752665,41.058153
"Zingarelli, Mark",,ComicBook,,
"Z-Man, Mark","New York, NY",ComicBook,-74.005973,40.712775
"Zulewski, Timothy","Bloomfield Hills, MI",CartoonCharacter,-83.245488,42.583645
"Zori, Milan",,CartoonCharacter,,
"Zingarelli, Mark",,CartoonCharacter,,
"Zevola, Oreste",,CartoonCharacter,,
"Zalme, Ron","Newton, NJ",CartoonCharacter,-74.752665,41.058153
"Zahniser, Jim",,CartoonCharacter,,
"Zabavskiy, Vlad","Fairfax, VA",CartoonCharacter,-77.306373,38.846224
"Z., Molly",,CartoonCharacter,,
"Youssi, John","Gilberts, IL",CartoonCharacter,-88.372861,42.103358
"Yost, J.T.","New York, NY",CartoonCharacter,-74.005973,40.712775
"Yoshikawa, Sachiko",,CartoonCharacter,,
"Yoon, Young-Min",,CartoonCharacter,,
"Yelland, Sean",,CartoonCharacter,,
Yayo,,CartoonCharacter,,
"Yamasaki, James",,CartoonCharacter,,
"Yamada, Kenny",,CartoonCharacter,,
"Yaccarino, Dan","New York, NY",CartoonCharacter,-74.005973,40.712775
"Wyatt, Carol",,CartoonCharacter,,
"Wummer, Amy",,CartoonCharacter,,
"Wu, Donald",,CartoonCharacter,,
"Woolley, Janet",,CartoonCharacter,,
"Woolf, Julia",,CartoonCharacter,,
"Wood, Tracey",,CartoonCharacter,,
"Woods, Noah",,CartoonCharacter,,
"Wong, Jeff","Brooklyn, NY",CartoonCharacter,-73.944158,40.678178
"Wolverton, Monte",,CartoonCharacter,,
"Wolcott, Karen",,CartoonCharacter,,
"Witte, Michael",,CartoonCharacter,,
"Wisinski, Ed",,CartoonCharacter,,
"Winter, Dave",,CartoonCharacter,,
"Winn-Lederer, Ilene","Pittsburgh, PA",CartoonCharacter,-79.995886,40.440625
"WickedInk Creative Design, Inc.","Easley, SC",CartoonCharacter,-82.601521,34.829838
"White, Janie",,CartoonCharacter,,
"White, Brian",,CartoonCharacter,,
"Whisler, J Art","Irvine, CA",CartoonCharacter,-117.826505,33.684567
Whimsico,"Honolulu, HI",CartoonCharacter,-157.858333,21.306944
"Wexler, Ed","Woodland Hills, CA",CartoonCharacter,-118.608975,34.165357
"Wetzel, Dan",,CartoonCharacter,,
"Westphal, Ken",,CartoonCharacter,,
WernerGraphics.com,,CartoonCharacter,,
"Welch, Cheryl","Bloomfield, NJ",CartoonCharacter,-74.185421,40.806755
"Weissmann, Joe","Millbrook, ON",CartoonCharacter,-78.448868,44.15055
"Weisberg, Glen","New York, NY",CartoonCharacter,-74.005973,40.712775
"Weisbecker, Philippe",,CartoonCharacter,,
"Weinstein, Ellen","New York, NY",CartoonCharacter,-74.005973,40.712775
"Weiner, Paul S.",,CartoonCharacter,,
"Weigel, Jeff","Belleville, IL",CartoonCharacter,-89.983993,38.52005
"Waurechen, Trevor",,CartoonCharacter,,
"Watson, Richard Jesse",,CartoonCharacter,,
"Watson, Esther Pearl",,CartoonCharacter,,
"Wass, Chip","Baltimore, MD",CartoonCharacter,-76.612189,39.290385
"Washburn, Timothy",,CartoonCharacter,,
"Warfield, D.L.","Alpharetta, GA",CartoonCharacter,-84.29409,34.075376
"Ward, Keith",,CartoonCharacter,,
"Ward, Andy",,CartoonCharacter,,
"Ward, Sam",,CartoonCharacter,,
"Walstead, Curt",,CartoonCharacter,,
"Walker, John",,CartoonCharacter,,
"Walker, Peggy","Brooklyn, NY",CartoonCharacter,-73.944158,40.678178
"Walker, Kathy","Sun City, AZ",CartoonCharacter,-112.271824,33.597539
"Walker, Carl","Fairfield, CT",CartoonCharacter,-73.261261,41.140836
"Waldman, Bruce","Westfield, NJ",CartoonCharacter,-74.347372,40.658991
"Vorlet, Christophe","Troy, VA",CartoonCharacter,-78.246492,37.950839
"Voltz, Ralph",,CartoonCharacter,,
"Volkert, Nick",,CartoonCharacter,,
"Visell, Amanda",,CartoonCharacter,,
"Vion, Gregoire","Emeryville, CA",CartoonCharacter,-122.285247,37.831316
"Vincent, Benjamin","Dallas, TX",CartoonCharacter,-96.796988,32.776664
"Vetro, Domenick",,CartoonCharacter,,
"Verna, Mark E.",,CartoonCharacter,,
"Verhoye, Annabelle",,CartoonCharacter,,
"Veltfort, Anna",,CartoonCharacter,,
"Velocity Design Group, LLC","Gilbert, AZ",CartoonCharacter,-111.789027,33.352826
"Vellekoop, Maurice",,CartoonCharacter,,
"Vasconcellos, Daniel","Pembroke, MA",CartoonCharacter,-70.8092,42.071492
"Varos, Linda",,CartoonCharacter,,
"Vargo, Kurt",,CartoonCharacter,,
